method,ARI,AMI,FMI,unlabeled_pctg,quantile,assigned,methods,supervised
singlecellnet...34,0.8153955119387409,0.8069433570046831,0.8446692177963785,NA,0.8,FALSE,singlecellnet,TRUE
garnett...35,0.30250330603971853,0.4221220704130554,0.4164278098131581,NA,0.8,FALSE,garnett,TRUE
cellassign...36,0.2949738453369618,0.4223067682749907,0.5321332682445664,NA,0.8,FALSE,cellassign,TRUE
seurat...37,0.5053381231269642,0.6261338698166734,0.5847545672076384,NA,0.2,NA,seurat,FALSE
tscan...38,0.4385207264544062,0.5410132772969417,0.5256315123962517,NA,0.2,NA,tscan,FALSE
sc3...39,0.06018206646443971,0.24011311335558702,0.2980949711371096,NA,0.2,NA,sc3,FALSE
liger...40,0.3047963053384838,0.46123875085093424,0.5130552251032734,NA,0.2,NA,liger,FALSE
seurat...41,0.9511475686363314,0.8530279952122646,0.9635133491657726,NA,0.2,TRUE,seurat,FALSE
tscan...42,0.840782364851509,0.715905609397437,0.8810099309309339,NA,0.2,TRUE,tscan,FALSE
sc3...43,0.9446874844342681,0.8268379659022167,0.9588489913121755,NA,0.2,TRUE,sc3,FALSE
liger...44,0.8230270932935857,0.7727265209859226,0.8687427848985385,NA,0.2,TRUE,liger,FALSE
seurat...45,0.4596233953591077,0.5987824044889308,0.5488592522819872,NA,0.2,FALSE,seurat,FALSE
tscan...46,0.3977520844574634,0.5178777091500769,0.4931668453097114,NA,0.2,FALSE,tscan,FALSE
sc3...47,0.029793895701747813,0.1732036713234531,0.2953248134072881,NA,0.2,FALSE,sc3,FALSE
liger...48,0.26940658116911625,0.4247682446743698,0.4965120220289641,NA,0.2,FALSE,liger,FALSE
seurat...49,0.5603291495943513,0.6725214133868527,0.6310319882866898,NA,0.8,NA,seurat,FALSE
tscan...50,0.4871167080130945,0.624763044524037,0.5632927382883649,NA,0.8,NA,tscan,FALSE
sc3...51,0.0897130228929007,0.3204806053020874,0.3199249521290657,NA,0.8,NA,sc3,FALSE
liger...52,0.4091198402772613,0.5952406988533104,0.5153870954571143,NA,0.8,NA,liger,FALSE
seurat...53,0.7282265961690585,0.7364957760392536,0.8068410447281364,NA,0.8,TRUE,seurat,FALSE
tscan...54,0.5447636850939417,0.6478969915136467,0.6651180169874406,NA,0.8,TRUE,tscan,FALSE
sc3...55,0.9903219260538194,0.9520294238589958,0.9931514224432659,NA,0.8,TRUE,sc3,FALSE
liger...56,0.5523913080164375,0.6116719232984218,0.6756510414684811,NA,0.8,TRUE,liger,FALSE
seurat...57,0.5079442161004183,0.653235142174514,0.5897780026972944,NA,0.8,FALSE,seurat,FALSE
tscan...58,0.46194901131743604,0.6107731810283821,0.5418355870656789,NA,0.8,FALSE,tscan,FALSE
sc3...59,0.04424030504576738,0.20894736904975567,0.3202807593286666,NA,0.8,FALSE,sc3,FALSE
liger...60,0.3670165162911877,0.5806416898852158,0.4905969028466498,NA,0.8,FALSE,liger,FALSE
